customer_id,avg_transaction_value
C8618,1835.375
C9587,2250.6923076923076
C8387,1908.7857142857142
C8111,2479.769230769231
C1804,1989.5555555555557
C2983,2299.375
C1842,2567.3846153846152
C3656,3371.5454545454545
C1602,2062.8571428571427
C8196,1841.0
C6521,3021.7272727272725
C1524,2206.235294117647
C1100,2515.4666666666667
C5725,1695.8
C1571,1998.3076923076924
C3970,2053.846153846154
C8007,2745.8333333333335
C6966,1786.2222222222222
C2430,2887.3333333333335
C2207,2788.1
C2367,3650.8571428571427
C2777,2134.222222222222
C7299,2833.8333333333335
C7031,2253.4666666666667
C8178,1693.25
C2320,1880.6666666666667
C9225,2211.235294117647
C4932,1623.4444444444443
C2100,2949.9473684210525
C2843,2587.5333333333333
C5169,1250.7692307692307
C6091,2216.9333333333334
C8907,2695.0
C5733,2920.0
C4276,1817.3333333333333
C6174,2482.909090909091
C5236,2277.285714285714
C6406,2183.7368421052633
C4980,1659.909090909091
C4863,3041.3571428571427
C8368,2354.714285714286
C5219,2732.8
C6678,1835.888888888889
C8849,1909.090909090909
C1875,2712.5333333333333
C4202,1781.5
C5745,2123.85
C3424,2350.3333333333335
C2846,3110.125
C5974,4757.0
C3981,2160.5714285714284
C3397,2820.1111111111113
C5490,2479.5
C1774,2632.9375
C8090,2456.0714285714284
C5984,1938.0
C8477,2778.125
C4112,2063.3571428571427
C1628,1880.0
C2490,3490.5714285714284
C3029,2795.3684210526317
C5934,1960.0526315789473
C3280,1684.5555555555557
C7927,2395.9
C7995,1295.4285714285713
C6502,2933.8888888888887
C7413,3407.3333333333335
C9224,1923.75
C3620,3032.625
C8230,2365.4
C7810,1713.764705882353
C7341,2690.076923076923
C9605,2810.5
C5835,2322.3571428571427
C1305,1694.7272727272727
C3178,2357.0
C9082,3003.5
C5839,3640.5714285714284
C4566,1921.3157894736842
C3109,1741.0
C5055,1851.8461538461538
C8112,1991.25
C9405,2470.3
C1829,2692.0833333333335
C6832,2471.0
C2243,2718.714285714286
C4141,1802.142857142857
C2744,2485.823529411765
C7923,2019.2307692307693
C4973,2819.2631578947367
C5988,3913.285714285714
C3124,2132.285714285714
C1130,2334.0476190476193
C2178,2692.153846153846
C1482,2330.5555555555557
C3929,2144.5833333333335
C6198,2220.785714285714
C2570,1810.75
C2899,1966.0
C4362,2439.9375
C5781,1900.764705882353
C2779,2645.1111111111113
C8661,2144.0
C3829,2130.6
C4330,2357.8
C6606,3647.0714285714284
C1709,2629.0
C1665,1667.2941176470588
C1917,2390.125
C2954,2492.0
C8666,2315.6
C9602,3307.3333333333335
C8817,2800.818181818182
C5607,2340.8333333333335
C1189,1968.0
C5017,2908.6
C1194,1649.9285714285713
C2539,2430.714285714286
C1586,2583.6363636363635
C4166,2506.5263157894738
C9229,3369.846153846154
C7228,2826.5714285714284
